atomic,"a tool for managing ProjectAtomic systems and containers"
atomic-devmode,
attr,
audit,
authconfig,
basesystem,
bash,
bash-completion,
bridge-utils,
btrfs-progs,
bzip2,
chrony,
cloud-init,
cloud-utils,
cockpit,
coreutils,
cryptsetup,
curl,
docker,
dracut,
e2fsprogs,
efibootmgr,
extlinux-bootloader,
fedora-modular-release,
glibc,
gnupg2,
grub2,
gzip,
hostname,
initscripts,
iproute,
iptables,
iputils,
iscsi-initiator-utils,
kernel,
less,
lsof,
lvm2,
mdadm,
microcode_ctl,
NetworkManager,
nfs-utils,
nmap,
nss-altfiles,
oci-register-machine,
oci-systemd-hook,
oddjob,
openssh,
ostree,
passwd,
policycoreutils,
procps-ng,
python-docker-py,
python2,
python3,
rootfiles,
rpm,
rpm-ostree,
rsync,
runc,
screen,
selinux-policy,
setools,
setup,
shadow-utils,
shim-signed,"provides the signed binaries"
sos,
sssd,
strace,
sudo,
systemd,
tar,
tcpdump,
tmux,
util-linux,
vim,
which,
xfsprogs,
xz,
